program_id,institution_name,recorded_distinct_professors,independent_distinct_professors,difference,status
us:ipeds:228787:program:phd:computer-science-phd,The University of Texas at Dallas,1,1,0,pass
us:ipeds:228796:program:phd:doctor-of-philosophy-in-computer-science,The University of Texas at El Paso,1,1,0,pass
us:ipeds:100663:program:phd:ph-d-in-computer-science,University of Alabama at Birmingham,1,1,0,pass
us:ipeds:100706:program:phd:computer-science-ph-d,University of Alabama in Huntsville,1,1,0,pass
us:ipeds:201885:program:phd:ph-d-in-computer-science-and-engineering,University of Cincinnati-Main Campus,1,1,0,pass
us:ipeds:126580:program:phd:cybersecurity-phd,University of Colorado Colorado Springs,1,1,0,pass
us:ipeds:130943:program:phd:computer-science-phd,University of Delaware,1,1,0,pass
ror:04jr1s763:program:thesis-or-research-master-s:msc-in-software-science-and-technology,University of Florence,1,1,0,pass
us:ipeds:139959:program:phd:doctor-of-philosophy-in-computer-science,University of Georgia,1,1,0,pass
us:ipeds:142285:program:phd:computer-science-ph-d,University of Idaho,1,1,0,pass
us:ipeds:145637:program:phd:computer-science-phd,University of Illinois Urbana-Champaign,1,1,0,pass
us:ipeds:155317:program:phd:doctor-of-philosophy-in-computer-science,University of Kansas,1,1,0,pass
us:ipeds:166513:program:phd:doctor-of-philosophy-ph-d-in-computer-science,University of Massachusetts-Lowell,1,1,0,pass
us:ipeds:182290:program:phd:ph-d-in-computer-science-and-engineering,University of Nevada-Reno,1,1,0,pass
us:ipeds:199139:program:phd:computing-and-information-systems-phd-software-and-information-systems-track,University of North Carolina at Charlotte,1,1,0,pass
us:ipeds:209551:program:phd:phd-in-computer-science,University of Oregon,1,1,0,pass
us:ipeds:215293:program:phd:phd-in-computer-science,University of Pittsburgh-Pittsburgh Campus,1,1,0,pass
us:ipeds:218663:program:phd:doctor-of-philosophy-in-computer-science,University of South Carolina-Columbia,1,1,0,pass
us:ipeds:240727:program:phd:phd-in-computer-science,University of Wyoming,1,1,0,pass
us:ipeds:234030:program:phd:doctor-of-philosophy-in-computer-science,Virginia Commonwealth University,1,1,0,pass
us:ipeds:236939:program:phd:doctor-of-philosophy-in-computer-science,Washington State University,1,1,0,pass
us:ipeds:168421:program:phd:phd-in-computer-science,Worcester Polytechnic Institute,1,1,0,pass
ca:dli:O19394569014:program:thesis-or-research-master-s:computer-science-msc-thesis-stream,Brock University,1,1,0,pass
ca:dli:O19332687812:program:thesis-or-research-master-s:electrical-and-computer-engineering-masc-software-engineering-concentration,Carleton University,1,1,0,pass
us:ipeds:190044:program:phd:phd-in-computer-science,Clarkson University,1,1,0,pass
us:ipeds:217882:program:phd:computer-science-phd,Clemson University,1,1,0,pass
us:ipeds:139940:program:phd:computer-science-phd,Georgia State University,1,1,0,pass
us:ipeds:145725:program:phd:computer-science-ph-d,Illinois Institute of Technology,1,1,0,pass
us:ipeds:155399:program:phd:doctor-of-philosophy-in-computer-science,Kansas State University,1,1,0,pass
us:ipeds:159391:program:phd:ph-d-in-computer-science-and-engineering,Louisiana State University and Agricultural & Mechanical College,1,1,0,pass
ca:dli:O19395535729:program:thesis-or-research-master-s:software-engineering-masc,McMaster University,1,1,0,pass
us:ipeds:180461:program:phd:computer-science-phd,Montana State University,1,1,0,pass
ca:dli:O18781994282:program:thesis-or-research-master-s:master-of-applied-science-in-engineering-science,Simon Fraser University,1,1,0,pass
ca:dli:O18781994282:program:thesis-or-research-master-s:computing-science-master-of-science-thesis,Simon Fraser University,1,1,0,pass
us:ipeds:216339:program:phd:computer-and-information-science-phd,Temple University,1,1,0,pass
us:ipeds:229027:program:phd:phd-in-computer-science,The University of Texas at San Antonio,1,1,0,pass
us:ipeds:110653:program:phd:software-engineering-phd,University of California-Irvine,1,1,0,pass
us:ipeds:110671:program:phd:phd-in-computer-science,University of California-Riverside,1,1,0,pass
us:ipeds:110680:program:phd:computer-science-and-engineering-phd,University of California-San Diego,1,1,0,pass
us:ipeds:110705:program:phd:computer-science-phd,University of California-Santa Barbara,1,1,0,pass
us:ipeds:129020:program:phd:computer-science-and-engineering-phd,University of Connecticut,1,1,0,pass
ror:01tm6cn81:program:thesis-or-research-master-s:software-engineering-and-management-master-s-programme,University of Gothenburg,1,1,0,pass
ca:dli:O19305391192:program:phd:phd-in-computer-science,University of Guelph,1,1,0,pass
us:ipeds:153658:program:phd:phd-in-computer-science,University of Iowa,1,1,0,pass
us:ipeds:160658:program:phd:phd-in-applied-computing-and-information-sciences,University of Louisiana at Lafayette,1,1,0,pass
us:ipeds:157289:program:phd:doctor-of-philosophy-in-computer-science-and-engineering,University of Louisville,1,1,0,pass
us:ipeds:178396:program:phd:phd-in-computer-science,University of Missouri-Columbia,1,1,0,pass
us:ipeds:181394:program:phd:computing-information-science-ph-d,University of Nebraska at Omaha,1,1,0,pass
us:ipeds:183044:program:phd:computer-science-ph-d,University of New Hampshire-Main Campus,1,1,0,pass
us:ipeds:217484:program:phd:computer-science-ph-d,University of Rhode Island,1,1,0,pass
us:ipeds:240444:program:phd:computer-sciences-phd,University of Wisconsin-Madison,1,1,0,pass
us:ipeds:240453:program:phd:computer-science-phd,University of Wisconsin-Milwaukee,1,1,0,pass
us:ipeds:238032:program:phd:ph-d-in-computer-science-and-information-science,West Virginia University,1,1,0,pass
ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,École Polytechnique de Montréal,1,1,0,pass
us:ipeds:142115:program:phd:computing-phd-computer-science-or-cybersecurity-emphasis,Boise State University,1,1,0,pass
us:ipeds:133951:program:phd:doctor-of-philosophy-in-computer-science,Florida International University,1,1,0,pass
us:ipeds:232186:program:phd:computer-science-phd,George Mason University,1,1,0,pass
